,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh_shooting,SoT,SoT%,G/Sh,G/SoT,Dist,FK_shooting,PK,PKatt_shooting,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt_keeper,PKA,PKsv,PKm,Cmp_keeper,Att_keeper,Cmp%_keeper,Att_keeper,Thr,Launch%,AvgLen,Att_keeper,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Cmp_passing,Att_passing,Cmp%_passing,TotDist_passing,PrgDist_passing,Cmp_passing,Att_passing,Cmp%_passing,Cmp_passing,Att_passing,Cmp%_passing,Cmp_passing,Att_passing,Cmp%_passing,Ast,xA,KP,1/3_passing,PPA,CrsPA,Prog_passing,Att_passing_types,Live_passing_types,Dead,FK_passing_types,TB,Press_passing_types,Sw,Crs_passing_types,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp_passing_types,Off_passing_types,Out,Int_passing_types,Blocks_passing_types,SCA,PassLive,PassDead,Drib,Sh_gca,Fld_gca,Def,GCA,PassLive,PassDead,Drib,Sh_gca,Fld_gca,Def,Tkl,TklW_defense,Def 3rd_defense,Mid 3rd_defense,Att 3rd_defense,Tkl,Att_defense,Tkl%,Past,Press_defense,Succ_defense,%,Def 3rd_defense,Mid 3rd_defense,Att 3rd_defense,Blocks_defense,Sh_defense,ShSv,Pass,Int_defense,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Succ_possession,Att_possession,Succ%,#Pl,Megs,Carries,TotDist_possession,PrgDist_possession,Prog_possession,1/3_possession,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_possession,CrdY,CrdR,2CrdY,Fls,Fld_misc,Off_misc,Crs_misc,Int_misc,TklW_misc,PKwon,PKcon,OG,Recov,Won,Lost,Won%,team
10,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Home,W,7,2,Stoke City,7,21.0,12.0,57.1,0.33,0.58,15.8,2.0,0,0,3.9,3.9,0.19,3.1,3.1,Match Report,1.0,0.0,-100.0,0.0,0.4,-0.6,0,0,0,0,1.0,1.0,100.0,22.0,4.0,4.5,20.1,2.0,0.0,18.0,2.0,1.0,50.0,1.0,21.8,832.0,915.0,90.9,14761.0,4601.0,382.0,407.0,93.9,353.0,385.0,91.7,84.0,104.0,80.8,7,3.3,17.0,69.0,20.0,2.0,86.0,915.0,879.0,36.0,8.0,2.0,48.0,18.0,14.0,5.0,0.0,2.0,0.0,791.0,70.0,54.0,261.0,604.0,22.0,18.0,4.0,832.0,2.0,10.0,20.0,14.0,35.0,30.0,1.0,1.0,1.0,2.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,3.0,12.0,0.0,9.0,19.0,47.4,10.0,109.0,36.0,33.0,19.0,62.0,28.0,5.0,3.0,0.0,2.0,11.0,,19.0,0.0,79.0,1012.0,36.0,179.0,628.0,255.0,54.0,975.0,3.0,6.0,50.0,4.0,0.0,755.0,3115.0,1841.0,84.0,19.0,12.0,7.0,13.0,898.0,832.0,92.7,86.0,0,0,0,7.0,10.0,2.0,14.0,11.0,12.0,0.0,0.0,1,78.0,21.0,12.0,63.6,ManchesterCity
11,2017-10-17,19:45,Champions Lg,Group stage,Tue,Home,W,2,1,it Napoli,2,15.0,8.0,53.3,0.13,0.25,,,0,0,,,,,,Match Report,1.0,2.0,100.0,0.0,,,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,16.0,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,14.0,8.0,3.0,12.0,16.0,9.0,0.0,2.0,0,,,,,ManchesterCity
12,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Home,W,3,0,Burnley,3,14.0,9.0,64.3,0.14,0.22,15.0,0.0,1,1,2.9,2.4,0.18,0.1,-0.4,Match Report,0.0,0.0,,1.0,0.0,0.0,0,0,0,0,3.0,8.0,37.5,29.0,1.0,13.8,27.4,4.0,100.0,64.8,3.0,0.0,0.0,0.0,12.4,747.0,828.0,90.2,13568.0,3748.0,341.0,360.0,94.7,316.0,342.0,92.4,84.0,108.0,77.8,2,1.8,9.0,44.0,17.0,2.0,50.0,828.0,786.0,42.0,7.0,5.0,91.0,18.0,14.0,4.0,0.0,2.0,0.0,703.0,71.0,54.0,277.0,513.0,7.0,26.0,3.0,747.0,1.0,9.0,16.0,11.0,25.0,15.0,2.0,3.0,3.0,1.0,1.0,6.0,2.0,1.0,0.0,2.0,1.0,0.0,16.0,7.0,6.0,10.0,0.0,5.0,16.0,31.3,11.0,93.0,29.0,31.2,28.0,45.0,20.0,6.0,2.0,0.0,4.0,10.0,,31.0,2.0,77.0,946.0,70.0,277.0,519.0,212.0,41.0,905.0,16.0,21.0,76.2,16.0,0.0,657.0,2968.0,1728.0,80.0,23.0,7.0,15.0,12.0,821.0,747.0,91.0,50.0,2,0,0,11.0,7.0,1.0,14.0,10.0,7.0,1.0,0.0,0,85.0,16.0,8.0,66.7,ManchesterCity
13,2017-10-24,20:00,EFL Cup,Fourth round,Tue,Home,D,0 (4),0 (1),Wolves,0,29.0,6.0,20.7,0.0,0.0,,,0,0,,,,,,Match Report,5.0,5.0,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,21.0,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,7.0,7.0,1.0,31.0,21.0,15.0,0.0,0.0,0,,,,,ManchesterCity
14,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Away,W,3,2,West Brom,3,15.0,5.0,33.3,0.2,0.6,19.2,2.0,0,0,2.6,2.6,0.17,0.4,0.4,Match Report,4.0,2.0,50.0,0.0,1.8,-0.2,0,0,0,0,4.0,11.0,36.4,33.0,4.0,24.2,32.9,3.0,100.0,83.3,4.0,0.0,0.0,1.0,23.5,862.0,961.0,89.7,15942.0,4492.0,366.0,385.0,95.1,388.0,423.0,91.7,96.0,122.0,78.7,3,2.4,12.0,57.0,26.0,1.0,81.0,961.0,925.0,36.0,13.0,2.0,90.0,23.0,12.0,2.0,0.0,2.0,0.0,774.0,103.0,84.0,356.0,544.0,24.0,15.0,9.0,862.0,1.0,5.0,19.0,17.0,27.0,25.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,7.0,7.0,3.0,7.0,16.0,43.8,9.0,153.0,60.0,39.2,32.0,55.0,66.0,14.0,2.0,0.0,12.0,13.0,,34.0,1.0,77.0,1098.0,56.0,243.0,567.0,360.0,48.0,1060.0,10.0,16.0,62.5,11.0,0.0,704.0,3370.0,1929.0,81.0,34.0,9.0,19.0,17.0,947.0,862.0,91.0,81.0,3,0,0,8.0,16.0,1.0,12.0,13.0,12.0,0.0,0.0,0,109.0,20.0,13.0,60.6,ManchesterCity
15,2017-11-01,20:45,Champions Lg,Group stage,Wed,Away,W,4,2,it Napoli,4,17.0,5.0,29.4,0.24,0.8,,,0,0,,,,,,Match Report,5.0,4.0,80.0,0.0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,20.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,12.0,8.0,1.0,9.0,20.0,10.0,0.0,1.0,0,,,,,ManchesterCity
16,2017-11-05,14:15,Premier League,Matchweek 11,Sun,Home,W,3,1,Arsenal,3,8.0,4.0,50.0,0.25,0.5,15.5,0.0,1,1,2.0,1.2,0.15,1.0,0.8,Match Report,3.0,2.0,66.7,0.0,0.9,-0.1,0,0,0,0,2.0,6.0,33.3,31.0,5.0,16.1,25.7,3.0,33.3,39.0,4.0,0.0,0.0,1.0,15.9,573.0,660.0,86.8,10165.0,2929.0,263.0,289.0,91.0,245.0,269.0,91.1,57.0,86.0,66.3,2,1.1,6.0,28.0,9.0,0.0,32.0,660.0,617.0,43.0,17.0,2.0,90.0,18.0,9.0,5.0,0.0,4.0,0.0,531.0,60.0,69.0,217.0,398.0,14.0,16.0,11.0,573.0,3.0,19.0,22.0,9.0,14.0,11.0,2.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,22.0,13.0,7.0,12.0,3.0,3.0,10.0,30.0,7.0,185.0,59.0,31.9,45.0,87.0,53.0,13.0,0.0,0.0,13.0,18.0,,18.0,0.0,58.0,775.0,87.0,238.0,433.0,160.0,28.0,735.0,10.0,13.0,76.9,10.0,0.0,490.0,2643.0,1527.0,60.0,24.0,6.0,11.0,12.0,645.0,573.0,88.8,32.0,1,0,0,18.0,20.0,3.0,9.0,18.0,13.0,1.0,0.0,0,64.0,6.0,4.0,60.0,ManchesterCity
17,2017-11-18,15:00,Premier League,Matchweek 12,Sat,Away,W,2,0,Leicester City,2,12.0,4.0,33.3,0.17,0.5,16.9,0.0,0,0,2.0,2.0,0.17,0.0,0.0,Match Report,0.0,0.0,,1.0,0.0,0.0,0,0,0,0,3.0,9.0,33.3,24.0,2.0,20.8,29.1,7.0,57.1,48.9,3.0,0.0,0.0,4.0,18.0,715.0,806.0,88.7,13597.0,3845.0,287.0,322.0,89.1,334.0,355.0,94.1,85.0,108.0,78.7,2,2.0,10.0,47.0,13.0,2.0,55.0,806.0,761.0,45.0,11.0,1.0,152.0,22.0,16.0,7.0,0.0,6.0,0.0,647.0,105.0,54.0,301.0,456.0,16.0,19.0,7.0,715.0,0.0,13.0,24.0,11.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,7.0,6.0,2.0,5.0,15.0,33.3,10.0,139.0,46.0,33.1,27.0,70.0,42.0,13.0,1.0,0.0,12.0,14.0,,26.0,1.0,73.0,923.0,47.0,215.0,551.0,224.0,48.0,880.0,14.0,17.0,82.4,14.0,1.0,688.0,3302.0,1932.0,75.0,22.0,15.0,13.0,9.0,789.0,715.0,90.6,55.0,1,0,0,11.0,12.0,1.0,16.0,14.0,12.0,0.0,0.0,0,77.0,18.0,17.0,51.4,ManchesterCity
18,2017-11-21,19:45,Champions Lg,Group stage,Tue,Home,W,1,0,nl Feyenoord,1,14.0,4.0,28.6,0.07,0.25,,,0,0,,,,,,Match Report,2.0,2.0,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,11.0,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,11.0,15.0,3.0,15.0,11.0,7.0,0.0,0.0,0,,,,,ManchesterCity
19,2017-11-26,16:00,Premier League,Matchweek 13,Sun,Away,W,2,1,Huddersfield,2,13.0,4.0,30.8,0.08,0.25,16.9,1.0,1,1,2.1,1.4,0.12,-0.1,-0.4,Match Report,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,6.0,7.0,85.7,22.0,5.0,22.7,26.1,7.0,28.6,34.4,4.0,0.0,0.0,3.0,23.7,668.0,760.0,87.9,12377.0,3398.0,271.0,298.0,90.9,332.0,360.0,92.2,60.0,89.0,67.4,0,0.6,7.0,80.0,11.0,0.0,56.0,760.0,718.0,42.0,11.0,2.0,120.0,10.0,12.0,7.0,0.0,6.0,0.0,638.0,68.0,54.0,213.0,516.0,9.0,16.0,5.0,668.0,3.0,13.0,24.0,8.0,18.0,12.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,14.0,10.0,4.0,6.0,9.0,16.0,56.3,7.0,117.0,47.0,40.2,32.0,35.0,50.0,9.0,1.0,0.0,8.0,9.0,,31.0,0.0,79.0,886.0,49.0,166.0,451.0,335.0,31.0,842.0,18.0,26.0,69.2,19.0,0.0,642.0,3572.0,2011.0,90.0,28.0,3.0,11.0,10.0,735.0,668.0,90.9,56.0,3,0,0,10.0,14.0,3.0,12.0,9.0,14.0,1.0,0.0,1,91.0,13.0,18.0,41.9,ManchesterCity
